name,main_category,subcategory,source_url,image_url,source_vendor,external_id,local_image_path
SUNFLOWER CHARGER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/black-sunflower-charger-96h2w-rfban-sgb8m-34wxj-6dnx2-5r7aw-ts8aw-k68l7-6dk75-cec6h-z3zn6-9yf55-azj44-rx33e-w3fnn-9f5mc-5edje-mkp5h-6atjh-c8tl5-mzkje,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/6418f1f21eacf96881789392/1705332206204/SUNFLOWER+CHARGER.jpg?format=1500w,Rental Reserve,,images/chargers/SUNFLOWER_CHARGER.jpg
SUNFLOWER DINNER PLATE,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/black-sunflower-charger-96h2w-rfban-sgb8m-34wxj-6dnx2-5r7aw-ts8aw-k68l7-6dk75-cec6h-z3zn6-9yf55-azj44-rx33e-w3fnn-9f5mc-5edje-mkp5h-6atjh-c8tl5-mzkje-2p49k,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/6418f21af328e663512a2e8d/1705332206204/SUNFLOWER+DINNER+PLATE.jpg?format=1500w,Rental Reserve,,images/chargers/SUNFLOWER_DINNER_PLATE.jpg
SUNFLOWER BREAD PLATE,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/sunflower-bread-plate,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65a7f7822076514743b54b1e/1705594191954/White+Sunflower+Bread+Plate.png?format=1500w,Rental Reserve,sunflower-bread-plate,images/chargers/sunflower-bread-plate.png
GOLD BEADED CHARGER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/gold-beaded-charger,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b43fd30c4dc31a49dbf4aa/1706311866729/gold+beaded+CHARGER.png?format=1500w,Rental Reserve,gold-beaded-charger,images/chargers/gold-beaded-charger.png
PINK SUNFLOWER CHARGER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/pink-sunflower-charger,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65a7f76a7d08ff0b728afff0/1705594198457/Pink+Sunflower+Charger+Plate.png?format=1500w,Rental Reserve,pink-sunflower-charger,images/chargers/pink-sunflower-charger.png
PINK SUNFLOWER BREAD PLATE,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/pink-sunflower-bread-plate,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65a7f7432076514743b54af6/1706159242550/Pink+Sunflower+Bread+plate.jfif?format=1500w,Rental Reserve,pink-sunflower-bread-plate,images/chargers/pink-sunflower-bread-plate.jfif
BLUE SUNFLOWER CHARGER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/blue-sunflower,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65a7f6dc7d08ff0b728aff7f/1705594219131/Blue+Sunflower+Charger+Plate.png?format=1500w,Rental Reserve,blue-sunflower,images/chargers/blue-sunflower.png
BLUE SUNFLOWER BREAD PLATE,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/blue-sunflower-bread-plate,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65a7f71ca64903138c816dce/1705594213541/Blue+Sunflower+Bread+Plate.jpg?format=1500w,Rental Reserve,blue-sunflower-bread-plate,images/chargers/blue-sunflower-bread-plate.jpg
IVORY LACE CHARGER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/3zeh39w25xfcax0rj0ztdo432rs37i,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b332c9c7c80f4680caa3ca/1706310234243/IVORY+LACE.png?format=1500w,Rental Reserve,3zeh39w25xfcax0rj0ztdo432rs37i,images/chargers/3zeh39w25xfcax0rj0ztdo432rs37i.png
NUDE LACE CHARGER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/nude-lace-charger,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b43985a01eff6233711e7a/1706310245482/Lace+Nude+Charger.png?format=1500w,Rental Reserve,nude-lace-charger,images/chargers/nude-lace-charger.png
PINK LACE CHARGER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/pink-lace-charger,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65a7f7b84d02774361b28748/1706310018113/Pink+Lace+Charger+Plate+%282%29.png?format=1500w,Rental Reserve,pink-lace-charger,images/chargers/pink-lace-charger.png
ACRYLIC SHADOW BOX CHARGER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/acrylic-shadow-box-charger,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b1ebb104b3cb21df710617/1706205750420/acrylic+shadow+box+charger.png?format=1500w,Rental Reserve,acrylic-shadow-box-charger,images/chargers/acrylic-shadow-box-charger.png
FINE STONEWARE PLATE - CLOUD,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/fine-stoneware-plate-cloud,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b1ec9a81fe34541c5d9003/1706205743710/Fine+Stoneware+Plate.png?format=1500w,Rental Reserve,fine-stoneware-plate-cloud,images/chargers/fine-stoneware-plate-cloud.png
FINE STONEWARE SALAD PLATE - CLOUD,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/fine-stoneware-salad-plate-cloud,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b1eccc81fe34541c5d901a/1706205702230/fine+stoneware+in+a+cylindrical+shape+with+a+soft+matte+glaze+-+Salad.jpg?format=1500w,Rental Reserve,fine-stoneware-salad-plate-cloud,images/chargers/fine-stoneware-salad-plate-cloud.jpg
FINE STONEWARE BREAD PLATE - CLOUD,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/fine-stoneware-bread-plate-cloud,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b1eced81fe34541c5d9023/1706205695850/fine+stoneware+in+a+cylindrical+shape+with+a+soft+matte+glaze+-+Bread+plate.jpg?format=1500w,Rental Reserve,fine-stoneware-bread-plate-cloud,images/chargers/fine-stoneware-bread-plate-cloud.jpg
RIBBED EDGE CLEAR CHARGER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/black-sunflower-charger-96h2w-rfban-sgb8m-34wxj-6dnx2-5r7aw-ts8aw-k68l7-6dk75-cec6h-z3zn6-9yf55-azj44-rx33e-w3fnn-9f5mc,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/6418f1411f343a6c1959794b/1706310973448/Ribbed+edge+Clear+Charger.png?format=1500w,Rental Reserve,black-sunflower-charger-96h2w-rfban-sgb8m-34wxj-6dnx2-5r7aw-ts8aw-k68l7-6dk75-cec6h-z3zn6-9yf55-azj44-rx33e-w3fnn-9f5mc,images/chargers/black-sunflower-charger-96h2w-rfban-sgb8m-34wxj-6dnx2-5r7aw-ts8aw-k68l7-6dk75-cec6h-z3zn6-9yf55-azj44-rx33e-w3fnn-9f5mc.png
CONCRETE CHARGER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/concrete-charger,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b1eb3404b3cb21df7105ca/1706205761965/CONCRETE+CHARGER.png?format=1500w,Rental Reserve,concrete-charger,images/chargers/concrete-charger.png
CONCRETE DINNER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/concrete-dinner,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b438e7a01eff6233711def/1706309899742/Untitled+design+%284%29.png?format=1500w,Rental Reserve,concrete-dinner,images/chargers/concrete-dinner.png
CONCRETE BREAD PLATE,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/concrete-bread-plate,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b1eb4cd2ac3a1f42c4a1b1/1706205756390/CONCRETE+BREAD+PLATE.png?format=1500w,Rental Reserve,concrete-bread-plate,images/chargers/concrete-bread-plate.png
LINED DINNER 8in,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/lined-dinner-8in,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b44170a01eff62337123e5/1706312098227/line+charger.png?format=1500w,Rental Reserve,lined-dinner-8in,images/chargers/lined-dinner-8in.png
MARBLE CHARGER,Uncategorized,CHARGERS,https://www.rentalreserve.ca/rental-collection-3iZ1R/p/marble-charger,http://static1.squarespace.com/static/63caf8ee90c60b6d050ba7f6/640796cdf3881059832c1655/65b1eaba40535114b8712809/1706205775216/MARBLE+CHARGER.png?format=1500w,Rental Reserve,marble-charger,images/chargers/marble-charger.png
